,Adj Close,Close,High,Low,Open,Volume,Daily_Return,Log_Return,SMA_20,SMA_50,SMA_200,RSI,EMA_20,MACD,MACD_Signal,Volatility,BB_Middle,BB_Upper,BB_Lower,ATR,DayOfWeek,Month,Quarter,Target,Prediction,Next_Day_Return,Position_Change,Strategy_Return,Strategy_Equity,Buy_Hold_Equity
2023-07-06,1908.699951171875,1908.699951171875,1910.199951171875,1903.199951171875,1909.300048828125,81,-0.0056782790960054,-0.0056944618118118,1933.539990234375,1966.793996582031,1855.5654998779296,26.65326910986566,1931.549937312053,-14.720453754076743,-14.402984581225551,0.0058619112367827,1933.539990234375,1972.9033955818056,1894.176584886944,17.235735212053573,3,7,3,1,1,0.009168544269755774,0.0,0.009168544269755774,0.9800050629213307,0.9800050629213307
2023-07-07,1926.199951171875,1926.199951171875,1934.0999755859373,1913.4000244140625,1913.4000244140625,61,0.0091685442697557,0.0091267683233349,1932.714990234375,1965.4379956054684,1856.8654998779296,36.23689711858892,1931.0404148225125,-13.34496011105466,-14.191379687191375,0.0058082941237154,1932.714990234375,1971.961519471887,1893.4684609968629,16.70716203962052,4,7,3,0,1,-0.0006229629333885933,0.0,-0.0006229629333885933,0.9793945560925976,0.9793945560925976
2023-07-10,1925.0,1925.0,1926.0999755859373,1912.300048828125,1923.5999755859373,269,-0.0006229629333885,-0.0006231570554215,1930.7849914550784,1964.2239965820308,1858.1920001220703,35.528588670734976,1930.465137220368,-12.21093743452252,-13.795291236657606,0.005180024857173,1930.7849914550784,1967.340698389608,1894.2292845205488,17.028581891741055,0,7,3,1,1,0.0032727526379869865,0.0,0.0032727526379869865,0.9825998722096798,0.9825998722096798
2023-07-11,1931.300048828125,1931.300048828125,1937.0,1924.199951171875,1925.0,142,0.0032727526379869,0.0032674088391857,1929.2399963378907,1963.051997070312,1859.5255004882813,47.87451968815252,1930.5446526115832,-10.680734149702175,-13.17237981926652,0.0052667584362532,1929.2399963378907,1962.684826044178,1895.7951666316037,15.99287632533482,1,7,3,1,1,0.012892819196508976,0.0,0.012892819196508976,0.9952683547045921,0.9952683547045921
2023-07-12,1956.199951171875,1956.199951171875,1958.0,1932.199951171875,1932.300048828125,132,0.0128928191965089,0.0128104143346199,1929.2849914550784,1962.373996582031,1860.9525,59.423828125,1932.98801437923,-7.373822168080096,-12.012668289029238,0.0060394984277177,1929.2849914550784,1962.8795284468583,1895.690454463298,16.70001220703125,2,7,3,1,1,0.0015335855612319538,0.0,0.0015335855612319538,0.9967946838829181,0.9967946838829181
2023-07-13,1959.199951171875,1959.199951171875,1961.0999755859373,1953.0,1961.0999755859373,121,0.0015335855612319,0.0015324108197861,1930.014990234375,1961.8899951171877,1862.5219995117188,72.37730688434914,1935.4843893118627,-4.4595883116171535,-10.50205229354682,0.0059045983236881,1930.014990234375,1965.587050415043,1894.4429300537072,15.764290945870505,3,7,3,1,1,0.00045938364459630066,0.0,0.00045938364459630066,0.9972525950577145,0.9972525950577145
2023-07-14,1960.0999755859373,1960.0999755859373,1960.5999755859373,1952.699951171875,1958.4000244140625,94,0.0004593836445963,0.0004592781602337,1930.2549865722656,1960.8059936523437,1864.205999145508,70.83335400921979,1937.8287308617744,-2.0537383191174285,-8.812389498660943,0.0057812022027642,1930.2549865722656,1966.6016642653144,1893.9083088792163,14.91428920200888,4,7,3,0,1,-0.003928346139371319,0.0,-0.003928346139371319,0.9933350416759414,0.9933350416759414
2023-07-17,1952.4000244140625,1952.4000244140625,1956.5,1946.5999755859373,1954.0,29,-0.0039283461393713,-0.0039360823580763,1929.9849853515625,1959.2819946289064,1865.8344995117188,64.13798411761104,1939.2164731048497,-0.7596498051530034,-7.201841559959356,0.0058440580783429,1929.9849853515625,1965.5417565179016,1894.4282141852236,15.2071446010044,0,7,3,1,1,0.012702277426602349,0.0,0.012702277426602349,1.005952658952875,1.005952658952875
2023-07-18,1977.199951171875,1977.199951171875,1978.4000244140625,1963.4000244140625,1968.800048828125,83,0.0127022774266023,0.0126222802195776,1930.924981689453,1957.865993652344,1867.418499145508,77.10121379500967,1942.833947206471,2.241235920714644,-5.3132260638245565,0.0065111232001339,1930.924981689453,1970.42052594212,1891.4294374367864,15.96428571428565,1,7,3,1,1,0.00015175441813419788,0.0,0.00015175441813419788,1.006105316713305,1.006105316713305
2023-07-19,1977.5,1977.5,1977.5,1973.0,1977.0,35,0.0001517544181341,0.0001517429045972,1933.0249816894527,1957.0679931640625,1869.013499145508,78.29860191285967,1946.13547604395,4.590751584869167,-3.332430534085812,0.005848887680717,1933.0249816894527,1977.674770073944,1888.3751933049623,16.164289202008863,2,7,3,0,1,-0.0046523141197850615,0.0,-0.0046523141197850615,1.0014245987423689,1.0014245987423689
2023-07-20,1968.300048828125,1968.300048828125,1973.699951171875,1965.5999755859373,1973.699951171875,638,-0.004652314119785,-0.0046631698156101,1934.7749816894527,1955.9079931640624,1870.542999267578,74.36116769046228,1948.2463877376808,5.645324714471826,-1.536879484374284,0.0059708931125316,1934.7749816894527,1982.131683683688,1887.4182796952184,15.600001743861558,3,7,3,0,1,-0.002032210486598074,0.0,-0.002032210486598074,0.9993894931712674,0.9993894931712674
2023-07-21,1964.300048828125,1964.300048828125,1964.300048828125,1961.800048828125,1961.800048828125,50,-0.002032210486598,-0.0020342782281946,1937.3549865722655,1954.4699951171876,1871.8999993896484,69.0476882486107,1949.7753078415328,6.088134719551135,-0.0118766435892001,0.0053728562360568,1937.3549865722655,1985.2670022637403,1889.442970880791,14.600001743861558,4,7,3,0,1,-0.0020363487759348375,0.0,-0.0020363487759348375,0.9973543876001659,0.9973543876001659
2023-07-24,1960.300048828125,1960.300048828125,1965.5,1960.300048828125,1965.300048828125,2,-0.0020363487759348,-0.0020384249531295,1939.414990234375,1953.06599609375,1873.0959997558596,66.52404203907935,1950.77766412597,6.046596863478499,1.1998180578243398,0.0054020984794333,1939.414990234375,1987.5644813072756,1891.2654991614745,14.142857142857094,0,7,3,1,1,0.0009181894164049798,0.0,0.0009181894164049798,0.9982701478432655,0.9982701478432655
2023-07-25,1962.0999755859373,1962.0999755859373,1962.5,1953.0,1953.0,19,0.0009181894164049,0.0009177681383584,1941.334991455078,1952.0139965820315,1874.3494995117187,68.2403815726882,1951.85597950311,6.088729773293153,2.1776004009181027,0.0053931858623407,1941.334991455078,1989.9065709601136,1892.7634119500424,13.449994768415127,1,7,3,1,1,0.00346569946115749,0.0,0.00346569946115749,1.0017298521567355,1.0017298521567355
2023-07-26,1968.9000244140625,1968.9000244140625,1972.0,1966.199951171875,1966.199951171875,51,0.0034656994611574,0.0034597077644026,1944.079992675781,1951.1019970703128,1875.6354998779295,76.77944436178508,1953.4792218755813,6.594806691507984,3.061041659036079,0.0052241884867991,1944.079992675781,1992.3514198663408,1895.808565485222,12.985709054129448,2,7,3,0,1,-0.011935598409570591,0.0,-0.011935598409570591,0.9897736069265142,0.9897736069265142
